# Dyanimc Analyis: Deformation for step = 5 at t = 0.05 [s]# x0 x y z 
0.00000000 0.00000000 0.00000000 0.00000000
7.50000000 7.50000008 0.00002115 -0.00000016
15.00000000 15.00000018 0.00006882 0.00000139
22.50000000 22.50000027 0.00014083 0.00000495
30.00000000 30.00000038 0.00023506 0.00001073
37.50000000 37.50000049 0.00034948 0.00001901
45.00000000 45.00000062 0.00048205 0.00002991
52.50000000 52.50000076 0.00063089 0.00004338
60.00000000 60.00000090 0.00079425 0.00005933
67.50000000 67.50000109 0.00097574 0.00007873
75.00000000 75.00000129 0.00117531 0.00010272
82.50000000 82.50000149 0.00139064 0.00013122
90.00000000 90.00000170 0.00161951 0.00016410
97.50000000 97.50000191 0.00185992 0.00020114
105.00000000 105.00000211 0.00211000 0.00024210
112.50000000 112.50000230 0.00236803 0.00028665
120.00000000 120.00000249 0.00263242 0.00033433
127.50000000 127.50000273 0.00290471 0.00038607
135.00000000 135.00000296 0.00318365 0.00044203
142.50000000 142.50000318 0.00346735 0.00050129
150.00000000 150.00000339 0.00375422 0.00056298
157.50000000 157.50000358 0.00404290 0.00062653
165.00000000 165.00000377 0.00433234 0.00069151
172.50000000 172.50000395 0.00462189 0.00075714
180.00000000 180.00000414 0.00491100 0.00082265
